,MSE,RMSE,MAE,RMSLE,R^2,Mean Residual Deviance,Residual deviance,model
1,0.10069957835401587,0.3173319686921188,0.22534389611057756,0.2659935331875712,0.17340134911807226,0.10069957835401587,590.502327467949,StackedEnsemble_BestOfFamily_1_AutoML_4_20220610_180036
1,0.10071225753034341,0.31735194584300785,0.2254172192125219,0.2659442364296268,0.17329727132332928,0.10071225753034341,590.5766781579338,StackedEnsemble_AllModels_1_AutoML_4_20220610_180036
1,0.10738595511763603,0.327697963249142,0.23273083722059493,0.27376821685936203,0.11851581630415775,0.10738595511763603,,GBM_2_AutoML_4_20220610_180036
1,0.10673834125455048,0.32670834279912486,0.23155066914099276,0.2730059496350014,0.12383179432778968,0.10673834125455048,,GBM_3_AutoML_4_20220610_180036
1,0.11456837806131719,0.33847950907154956,0.24017277026020448,0.2817198575723353,0.05955845806737936,0.11456837806131719,,GBM_1_AutoML_4_20220610_180036
1,0.10395669455089852,0.3224231606924331,0.22880424423835513,0.26972311020976264,0.1466651115079819,0.10395669455089852,,GBM_4_AutoML_4_20220610_180036
1,0.12065462917714548,0.34735375221400083,0.24498571310817957,0.2887668438650294,0.009599093355981192,0.12065462917714548,707.5187454947811,GLM_1_AutoML_4_20220610_180036
1,0.03323525581088465,0.18230539161221934,0.12990429070571807,0.1618312270915127,0.7271863689596332,0.03323525581088465,,XRT_1_AutoML_4_20220610_180036
1,0.03342683292065586,0.18283006569122012,0.12990109673082567,0.161839374035067,0.7256137965311764,0.03342683292065586,,DRF_1_AutoML_4_20220610_180036
