,MSE,RMSE,MAE,RMSLE,R^2,Mean Residual Deviance,Residual deviance,model
1,0.007381671351851378,0.08591665351869437,0.06230858904765597,0.09353575968665465,0.0933387811416514,0.007381671351851378,43.28612080725648,StackedEnsemble_BestOfFamily_1_AutoML_1_20220610_171527
1,0.007381671351851378,0.08591665351869437,0.06230858904765597,0.09353575968665465,0.0933387811416514,0.007381671351851378,43.28612080725648,StackedEnsemble_AllModels_1_AutoML_1_20220610_171527
1,0.008129313385377718,0.09016270506910115,0.06522235614281909,0.09758397870188894,0.0015088953236226388,0.008129313385377718,47.670293691854944,GLM_1_AutoML_1_20220610_171527
1,0.007904801905211062,0.08890895289683183,0.064470922779821,0.09641356141274145,0.029084744010592356,0.007904801905211062,,GBM_1_AutoML_1_20220610_171527
1,0.007635961201818823,0.08738398710186451,0.06342629871235898,0.09491357650034166,0.06210537419012607,0.007635961201818823,,GBM_2_AutoML_1_20220610_171527
1,0.00755464820812397,0.0869174793014844,0.06321276363523463,0.09445009853029161,0.07209272454187343,0.00755464820812397,,GBM_3_AutoML_1_20220610_171527
1,0.007303330965702049,0.08545952823238641,0.06232887061097168,0.09305407720629551,0.10296101797750967,0.007303330965702049,,GBM_4_AutoML_1_20220610_171527
1,0.002508982047444204,0.05008973994187037,0.03676889434000913,0.05653256733113146,0.691831752891716,0.002508982047444204,,XRT_1_AutoML_1_20220610_171527
1,0.0023835408957494646,0.04882152082585573,0.03596383898589641,0.05629219396730293,0.7072391886971616,0.0023835408957494646,,DRF_1_AutoML_1_20220610_171527
