,MSE,RMSE,MAE,RMSLE,R^2,Mean Residual Deviance,Residual deviance,model
1,0.016325576178007978,0.12777157813069376,0.09753969705405346,0.13184091254269506,0.17238885788155667,0.016325576178007978,95.73317870783879,StackedEnsemble_BestOfFamily_1_AutoML_2_20220610_174632
1,0.01631784237148026,0.12774131035604833,0.09753485664411642,0.13179573927792237,0.17278091659872163,0.01631784237148026,95.68782766636023,StackedEnsemble_AllModels_1_AutoML_2_20220610_174632
1,0.018101415444792955,0.13454150082704205,0.10257292081593103,0.1383794015659522,0.08236420283859913,0.018101415444792955,,GBM_2_AutoML_2_20220610_174632
1,0.017790949334752826,0.13338271752649528,0.10175790433334825,0.13723964888707266,0.0981030171455336,0.017790949334752826,,GBM_3_AutoML_2_20220610_174632
1,0.018832845163967465,0.13723281372896012,0.10476546125045902,0.14096977853870796,0.045284997874253996,0.018832845163967465,,GBM_1_AutoML_2_20220610_174632
1,0.017275318770353976,0.13143560693493211,0.10026418261337978,0.13524064282930964,0.12424246825343199,0.017275318770353976,,GBM_4_AutoML_2_20220610_174632
1,0.019651227631466445,0.14018283643679938,0.106702731285091,0.14396595932465361,0.003797797592224761,0.019651227631466445,115.23479883091923,GLM_1_AutoML_2_20220610_174632
1,0.005221485453695767,0.07225984675942627,0.05515064067266485,0.0756193676929177,0.735301254132197,0.005221485453695767,,XRT_1_AutoML_2_20220610_174632
1,0.005065442318632606,0.07117192085810672,0.053923154658435064,0.07443373639453917,0.7432117276016316,0.005065442318632606,,DRF_1_AutoML_2_20220610_174632
